project_name,total_points,programming_background,pre_skills,Concept (Total),File Structure (Total),Project Description (Total),Approach (Total),Code (Total),Style (Total),Documentation (Total),Tests (Total),Fudge Points,Extra Credit,Total Score,instructor,quarter,lines_code,num_imports,imports,lines_comments,num_comments_words,num_functions,num_classes,num_tests,num_asserts,num_logic,num_loops,project_quarter
WI21_B00_001,98.5,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,28.0,10.0,9.0,8.0,,,95.0,Ellis,WI21,35,0,[],41,252,4,0,2,5,5,1,WI21
WI21_B00_002,99.53,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,27.0,10.0,8.0,10.0,,,94.5,Ellis,WI21,110,4,"['sys', 'pandas', 'numpy', 'my_module.functions']",52,299,3,0,3,18,9,3,WI21
WI21_B00_003,92.97,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,30.0,10.0,10.0,7.5,,,100.0,Ellis,WI21,49,8,"['datetime', 'numpy', 'pandas', 'matplotlib.pyplot', 'plotly.graph_objects', 'plotly.express', 'sys', 'my_module.functions']",57,302,4,0,4,7,2,2,WI21
WI21_B00_004,94.69,Matlab,"Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Execute Python programs on your local computer, using notebooks and the command line",5.0,5.0,0.0,18.0,30.0,10.0,10.0,10.0,,,88.5,Ellis,WI21,63,1,['string'],71,298,8,0,3,9,12,5,WI21
WI21_B00_005,98.72,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,27.0,10.0,8.0,10.0,,,98.5,Ellis,WI21,46,2,"['sys', 'my_module.functions']",18,167,4,1,3,12,1,0,WI21
WI21_B00_006,89.47,I've never programmed before!,None of these,5.0,4.5,10.0,17.0,30.0,9.0,9.0,10.0,,,95.5,Ellis,WI21,66,1,['pandas'],76,465,7,1,3,14,6,0,WI21
WI21_B00_007,95.71,I've never programmed before!,None of these,5.0,4.5,10.0,15.0,30.0,9.0,9.0,10.0,,,93.0,Ellis,WI21,149,3,"['sys', 'sys', 'my_module.functions']",48,239,4,0,4,12,10,0,WI21
WI21_B00_008,85.09,I've never programmed before!,None of these,5.0,4.5,10.0,16.0,22.0,9.0,8.0,8.0,,,83.0,Ellis,WI21,127,8,"['string', 'random', 'random', 'random', 'random', 'random', 'sys', 'my_module.functions']",42,188,12,0,11,31,10,7,WI21
WI21_B00_009,99.39,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,30.0,9.0,10.0,10.0,,,102.0,Ellis,WI21,109,1,['string'],133,785,10,0,5,21,10,1,WI21
WI21_B00_010,91.83,Javascript,None of these,,,,,,,,,,,,Ellis,WI21,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,WI21
WI21_B00_011,100.77,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,30.0,10.0,10.0,10.0,,,101.0,Ellis,WI21,88,2,"['datetime', 'pandas']",155,860,7,0,4,14,9,0,WI21
WI21_B00_012,90.51,C/C++,Solve basic problems using programmatic solutions,5.0,5.0,10.0,20.0,30.0,8.0,8.0,1.0,,,87.0,Ellis,WI21,21,3,"['pandas', 'pandas', 'datetime']",15,133,3,1,0,0,1,2,WI21
WI21_B00_013,94.75,I've never programmed before!,None of these,5.0,5.0,10.0,19.0,30.0,10.0,10.0,9.0,,,98.0,Ellis,WI21,132,0,[],100,627,15,0,6,18,13,0,WI21
WI21_B00_014,70.52,I've never programmed before!,None of these,5.0,2.0,0.0,15.0,30.0,7.0,0.0,0.0,,,61.0,Ellis,WI21,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,WI21
WI21_B00_015,99.7,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,30.0,10.0,10.0,10.0,,,100.0,Ellis,WI21,127,1,['random'],41,275,9,1,6,12,7,1,WI21
WI21_B00_016,78.93,C/C++,"Solve basic problems using programmatic solutions, Execute Python programs on your local computer, using notebooks and the command line",5.0,3.0,3.0,20.0,24.0,5.0,3.0,0.0,,,67.0,Ellis,WI21,397,2,"['sys', 'functions_Copy1_Copy1']",28,139,33,0,2,2,82,33,WI21
WI21_B00_017,99.71,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,30.0,10.0,10.0,10.0,,,101.0,Ellis,WI21,31,0,[],61,369,7,1,3,10,0,4,WI21
WI21_B00_018,98.95,I've never programmed before!,None of these,5.0,5.0,10.0,18.0,30.0,10.0,10.0,7.5,,,96.5,Ellis,WI21,80,1,['numpy'],82,521,6,0,3,9,10,9,WI21
WI21_B00_019,86.4,I've never programmed before!,"Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Execute Python programs on your local computer, using notebooks and the command line",,5.0,10.0,19.0,25.0,8.0,2.0,5.0,,,74.0,Ellis,WI21,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,WI21
WI21_B00_020,100.39,,,5.0,5.0,10.0,20.0,30.0,10.0,10.0,10.0,,,101.0,Ellis,WI21,112,0,[],91,382,11,2,9,21,3,0,WI21
WI21_B00_021,96.83,I've never programmed before!,None of these,5.0,4.5,10.0,15.0,22.0,10.0,10.0,6.4,,,82.9,Ellis,WI21,89,9,"['random', 'classes', 'time', 'IPython.display', 'random', 'string', 'operator', 'sys', 'my_module.functions']",53,272,9,2,3,7,3,5,WI21
WI21_B00_022,73.37,I've never programmed before!,None of these,5.0,5.0,10.0,18.0,26.0,10.0,10.0,8.0,,,92.0,Ellis,WI21,96,0,[],45,206,5,0,4,9,5,0,WI21
SP21_B00_001,100.99,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,30.0,10.0,10.0,7.5,,,97.5,Ellis,SP21,22,3,"['numpy', 'pandas', 'matplotlib.pyplot']",44,218,3,0,3,7,1,0,SP21
SP21_B00_002,101.23,I've never programmed before!,None of these,5.0,3.5,10.0,20.0,30.0,10.0,10.0,10.0,,,98.5,Ellis,SP21,43,3,"['math', 'sys', 'my_module.functions']",51,230,5,0,4,0,3,0,SP21
SP21_B00_003,92.3,I've never programmed before!,None of these,5.0,5.0,10.0,15.0,27.0,9.0,10.0,9.0,,,90.0,Ellis,SP21,202,2,"['string', 'random']",66,312,10,0,7,27,13,6,SP21
SP21_B00_004,97.69,"Python, Java","Program at an introductory level in the Python programming language, Write and debug small Python programs",5.0,4.0,10.0,20.0,28.0,10.0,6.0,10.0,,,93.0,Ellis,SP21,132,5,"['my_module.functions', 'my_module.functions', 'my_module.functions', 'sys', 'my_module.functions']",26,158,5,1,5,8,3,1,SP21
SP21_B00_005,51.72,"Java, Javascript","Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions",5.0,4.0,10.0,17.0,28.0,4.0,0.0,2.5,,,0.0,Ellis,SP21,96,2,"['sys', 'my_module.functions']",9,55,16,2,2,2,7,9,SP21
SP21_B00_006,99.17,I've never programmed before!,None of these,5.0,5.0,9.0,20.0,30.0,8.5,9.0,6.0,,,95.5,Ellis,SP21,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_B00_007,100.46,"Java, C/C++","Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions",5.0,5.0,10.0,20.0,30.0,10.0,10.0,10.0,,,100.0,Ellis,SP21,50,0,[],66,382,5,1,4,17,1,3,SP21
SP21_B00_008,102.52,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,30.0,10.0,10.0,10.0,,,103.5,Ellis,SP21,60,8,"['numpy', 'pandas', 'sklearn.linear_model', 'matplotlib.pyplot', 'numpy', 'pandas', 'sys', 'my_module.functions']",72,472,5,1,3,11,1,5,SP21
